,title,lyrics
10,A Tempestade, Será que eu sou capaz De enfrentar o teu amor Que me traz insegurança e verdade demais? Será que eu sou capaz? Veja bem quem eu sou Com teu amor eu quero que sintas dor Eu quero ver-te em sangue e ser teu credor Veja bem quem eu sou Trouxe flores mortas pra ti Quero rasgar-te e ver o sangue manchar Toda a pureza que vem do teu olhar Eu não sei mais sentir
11,A Via Láctea," Quando tudo está perdido Sempre existe um caminho Quando tudo está perdido Sempre existe uma luz Mas não me diga isso Hoje a tristeza não é passageira Hoje fiquei com febre a tarde inteira E quando chegar a noite Cada estrela parecerá uma lágrima Queria ser como os outros E rir das desgraças da vida Ou fingir estar sempre bem Ver a leveza das coisas com humor Mas não me diga isso É só hoje e isso passa Só me deixe aqui quieto isso passa Amanhã é um outro dia, não é? Eu nem sei porque me sinto assim Vem de repente um anjo triste perto de mim E essa febre que não passa E meu sorriso sem graça Não me dê atenção Mas obrigado por pensar em mim Quando tudo está perdido Sempre existe uma luz Quando tudo está perdido Sempre existe um caminho Quando tudo está perdido Eu me sinto tão sozinho Quando tudo está perdido Não quero mais ser quem eu sou Mas não me diga isso Não me dê atenção E obrigado por pensar em mim Não me diga isso Não me dê atenção E obrigado por pensar em mim"
12,A Whiter Shade Of Pale," We skipped a light fandango Turned cartwheels 'cross the floor I was feeling kind of seasick The crowd called out for more The room was humming harder As the ceiling flew away When we called out for another drink The waiter brought a tray And so it was that later As the miller told his tale That her face, at first just ghostly Turned a whiter shade of pale She said, ""there is no reason And the truth is plain to see"" But I wandered through my playing cards Would not let her be one of sixteen vestal virgins Who were leaving for the coast And although my eyes were open They might have just as well been closed And so it was later As the miller told his tale That her face, at first just ghostly Turned a whiter shade of pale And so it was that later"
13,Acrilic On Canvas," É saudade, então E mais uma vez De você fiz o desenho Mais perfeito que se fez Os traços copiei Do que não aconteceu As cores que escolhi Entre as tintas que inventei Misturei com a promessa Que nós dois nunca fizemos De um dia sermos três Trabalhei você Em luz e sombra E era sempre: Não foi por mal Eu juro que nunca quis deixar você tão triste Sempre as mesmas desculpas E desculpas nem sempre são sinceras Quase nunca são Preparei a minha tela Com pedaços de lençóis Que não chegamos a sujar A armação fiz com madeira Da janela do seu quarto Do portão da sua casa Fiz paleta e cavalete E com lágrimas que não brincaram com você Destilei óleo de linhaça Da sua cama arranquei pedaços Que talhei em estiletes de tamanhos diferentes E fiz, então Pincéis com seus cabelos Fiz carvão do batom que roubei de você E com ele marquei Dois pontos de fuga E rabisquei meu horizonte E era sempre: Não foi por mal Eu juro que não foi por mal, eu não queria machucar você Prometo que isso nunca vai acontecer mais uma vez E era sempre, sempre o mesmo novamente A mesma traição Às vezes é difícil esquecer Sinto muito, ela não mora mais aqui Mas então, por que eu finjo Que acredito no que invento? Nada disso aconteceu assim Não foi desse jeito Ninguém sofreu É só você Que me provoca essa saudade vazia Tentando pintar essas flores com o nome De amor-perfeito E não-te-esqueças-de-mim"
14,Ainda É Cedo," Uma menina me ensinou Quase tudo que eu sei Era quase escravidão Mas ela me tratava como um rei Ela fazia muitos planos Eu só queria estar ali Sempre ao lado dela Eu não tinha aonde ir Mas egoísta que eu sou Me esqueci de ajudar A ela como ela me ajudou E não quis me separar Ela também estava perdida E por isso se agarrava a mim também E eu me agarrava a ela Porque eu não tinha mais ninguém E eu dizia ainda é cedo Cedo, cedo, cedo, cedo E eu dizia ainda é cedo Cedo, cedo, cedo, cedo Ah, eu dizia ainda é cedo Cedo, cedo, cedo, cedo Ah, eu dizia ainda é cedo Sei que ela terminou O que eu não comecei E o que ela descobriu Eu aprendi também, eu sei Ela falou: Você tem medo Aí eu disse: Quem tem medo é você Falamos o que não devia Nunca ser dito por ninguém Ela me disse: Eu não sei Mais o que eu sinto por você Vamos dar um tempo Um dia a gente se vê E eu dizia ainda é cedo Cedo, cedo, cedo, cedo E eu dizia ainda é cedo Cedo, cedo, cedo, cedo Ah, eu dizia ainda é cedo Cedo, cedo, cedo, cedo Ah, eu dizia ainda é cedo."
15,Ainda É Cedo / Gimme Shelter / Pretty Vacant / Satisfaction / Jumping Jack Flash / Rock Around The Clock / Blue Suede Shoes (pout-pourri)," Uma menina me ensinou Quase tudo que eu sei Era quase escravidão Mas ela me tratava como um rei Ela fazia muitos planos Eu só queria estar ali Sempre ao lado dela Eu não tinha aonde ir Mas, egoísta que eu sou Me esqueci de ajudar A ela como ela me ajudou E não quis me separar Ela também estava perdida E por isso se agarrava a mim também E eu me agarrava a ela Porque eu não tinha mais ninguém E eu dizia: - Ainda é cedo Cedo, cedo, cedo, cedo (FALADO POR RENATO) Agora vocês vão ver como funciona uma passagem de som. É uma coisa... Squiderré pode ascender as luzes. Funciona assim: - Eu tou aqui no palco, eu não tou ouvindo a Guitarra. Então eu vou pedir para aumentar a Guitarra, por favor. Mas é; porque a gente tá aqui, a gente não ouve o que vocês ouvem. A gente ouve nessas caixinhas. Então eu vou pedir ao nosso técnico aumentar a Guitarra, continuem tocando numa boa. ""O Baixo tá alto demais"". Então a gente vai pedir pra abaixar o Baixo aqui do palco. Isso. ""A Guitarra aumentou demais"", pode abaixar. Isso. Agora, Fred, Violão, vamos lá. ""Acordes"". Ah, isso, isso, ah, ah, uô, uô, uô, uô, uô, uô, uô, uô Sei que ela terminou O que eu não comecei E o que ela descobriu Eu aprendi também, eu sei Ela falou: - Você tem medo. Aí eu disse: - Quem tem medo é você. Falamos o que não devia Nunca ser dito por ninguém Ela me disse: - Eu não sei mais o que eu sinto por você. Vamos dar um tempo, um dia a gente se vê. E eu dizia: - Ainda é cedo cedo, cedo, cedo, cedo. (FALADO POR RENATO) Vocês querem saber porque esta história acabou? Por que eu gosto muito de dar ordens. Se as coisas são saem do jeito que eu quero, eu mando aumentar a Guitarra, mando abaixar a Guitarra, mando fazer isso... Mas isso você não pode fazer. Principalmente no amor. Eu nem sei direito o que é o amor. E você não pode ter uma relação de força, de poder. Sabe, tem que ser uma outra coisa. E eu já sofri muito na vida por causa disso, sabia? Tanta gente já foi embora da minha vida por causa disso. Porque eu sou mandão, ""com a melhor das intenções"". (GIMME SHELTER) Ooh, see a storm it's threat'ning my very life today. Come'on babe gimme shelter or else, I'm gonna fade away. Ooh, see a storm it's threat'ning my very life today. Burns like a red coal carpet mad bull lost its way. Love sister it's just a shot away It's just a shot away Love sister it's just a shot away It's just a shot away War sister it's just a shot away It's just a shot away It's just a shot away It's just a shot away It's just a shot away It's just a shot away (PRETTY VACANT) Oh we're so pretty oh so pretty VACANT. Oh we're so pretty oh so pretty VACANT. but now AND WE DON'T CARE... (SATISFACTION) I can't get no satisfaction. I can't get no satisfaction. (JUMPING JACK fLASH) But it's all right, i'm jumping jack flash, it`s a gas, gas,gas! (ROCK AROUND THE CLOCK) We're gonna rock around the clock tonight, We're gonna rock, rock, rock, 'till broad daylight, We're gonna rock around the clock tonight. (BLUE SUEDE SHOES) But don't you step on my blue suede shoes. You can do anything but lay off of my Blue suede shoes. (FALADO POR RENATO) Ela adorava todas essas músicas... Ainda é cedo... Vocês está por aí que eu sei... Cedo... Foi pra você."
16,Aloha," Será que ninguém vê O caos em que vivemos? Os jovens são tão jovens E fica tudo por isso mesmo A juventude é rica, a juventude é pobre A juventude sofre e ninguém parece perceber Eu tenho um coração Eu tenho ideais Eu gosto de cinema E de coisas naturais E penso sempre em sexo, oh yeah! Todo adulto tem inveja, todo adulto tem inveja Todo adulto tem inveja dos mais jovens A juventude está sozinha Não há ninguém para ajudar A explicar por que é que o mundo É este desastre que aí está Eu não sei, eu não sei Dizem que eu não sei nada Dizem que eu não tenho opinião Me compram, me vendem, me estragam E é tudo mentira, me deixam na mão Não me deixam fazer nada E a culpa é sempre minha, oh yeah! E meus amigos parecem ter medo De quem fala o que sentiu De quem pensa diferente Nos querem todos iguais Assim é bem mais fácil nos controlar E mentir, mentir, mentir E matar, matar, matar O que eu tenho de melhor: minha esperança Que se faça o sacrifício Que cresçam logo as crianças"
17,And So It Goes," In every heart there is a room A sanctuary safe and strong To heal the wounds frome lovers past Until a new one comes along I spoke to you in cautious tones You answered me with no pretense And still feel I said too much My silence is my self defense And every time I've held a rose It seems I only felt the thorns And so it goes, and so it goes And so will you soon I suppose But if my silence made you leave Then that would be my worst mistake So I will share this room with you And you can have this heart to break And this is why my eyes are closed It's just as well for all I've seen And so it goes, and so it goes And you're the only one who knows So I would choose to be with you That's if the choice were mine to make But you can make decisions too And you can have this heart to break And so it goes, and so it goes And you're the only one who knows"
18,Andrea Doria," Às vezes, parecia que, de tanto acreditar Em tudo que achávamos tão certo Teríamos o mundo inteiro e até um pouco mais Faríamos floresta do deserto E diamantes de pedaços de vidro Mas percebo agora que o teu sorriso É indiferente Quase parecendo te ferir Não queria te ver assim Quero a tua força como era antes O que tens é só teu E de nada vale fugir e não sentir mais nada Às vezes, parecia que era só improvisar E o mundo, então, seria um livro aberto Até chegar o dia em que tentamos ter demais Vendendo fácil o que não tinha preço Eu sei, é tudo sem sentido Quero ter alguém com quem conversar Alguém que depois Não use o que eu disse contra mim Nada mais vai me ferir, é que eu já me acostumei Com a estrada errada que eu segui e com a minha própria lei Tenho o que ficou E tenho sorte até demais como sei que tens também"
19,Angra Dos Reis," Deixa, se fosse sempre assim Quente, deita aqui perto de mim Tem dias que tudo está em paz E agora os dias são iguais Se fosse só sentir saudade Mas tem sempre algo mais Seja como for É uma dor que dói no peito Pode rir agora Que estou sozinho Mas não venha me roubar Vamos brincar Perto da usina Deixa pra lá A Angra é dos Reis Por que se explicar Se não existe perigo Senti teu coração perfeito Batendo à toa e isso dói Seja como for É uma dor que dói no peito Pode rir agora Que estou sozinho Mas não venha me roubar Vai ver que não é nada disso Vai ver que já não sei quem sou Vai ver que nunca fui o mesmo A culpa é toda sua e nunca foi Mesmo se as estrelas começassem a cair E a luz queimasse tudo ao redor E fosse o fim chegando cedo Você visse o nosso corpo em chamas Deixa pra lá Quando as estrelas começarem a cair Me diz, me diz, pra onde é que a gente vai fugir?"
20,Antes Das Seis," Quem inventou o amor? Me explica, por favor Quem inventou o amor? Me explica, por favor Vem e me diz o que aconteceu Faz de conta que passou Quem inventou o amor? Me explica, por favor Daqui vejo o seu descanso Perto do seu travesseiro Depois quero ver se acerto Dos dois quem acorda primeiro Quem inventou o amor? Me explica, por favor Quem inventou o amor? Me explica, por favor Enquanto a vida vai e vem Você procura achar alguém Que um dia possa lhe dizer ""Quero ficar só com você"" Quem inventou o amor?"
21,Anúncio de Refrigerante," Sentado embaixo do bloco sem ter o que fazer Olhando as meninas que passam Matando o tempo, procurando uma briga Sem ter dinheiro nem pra um Guaraná Não vou de tarde pro conjunto nacional Contar os pobres, e os recos e os ladrões. Com muita coisa na cabeça, mas no bolso nada Sempre com medo dos PMs, E chega o fim-de-semana E todos se agitam Sempre à procura de uma festa Os carros rodam enquanto se tem gasolina E ninguém nunca agita nada Sujeira quando a sua turma é menor de idade Não podem ir Pro mesmo lado que você E a vida que a gente leva não é nada igual Aos Anúncios de Refrigerante."
22,As Flores do Mal," Eu quis você e me perdi Você não viu e eu não senti Não acredito, nem vou julgar Você sorriu, ficou e quis me provocar Quis dar uma volta em todo o mundo Mas não é bem assim que as coisas são Seu interesse é só traição E mentir é fácil demais Mentir é fácil demais Mentir é fácil demais Mentir é fácil demais Tua indecência não serve mais Tão decadente e tanto faz Quais são as regras? O que ficou? O seu cinismo, essa sedução Volta pro esgoto baby Vê se alguém lhe quer O que ficou é esse modelito da estação passada Extorsão e drogas demais Todos já sabem o que você faz Teu perfume barato, teus truques banais Você acabou ficando pra trás Porque mentir é fácil demais Mentir é fácil demais Mentir é fácil demais Mentir é fácil demais Volta pro esgoto baby E vê se alguém lhe quer"
23,Baader-Meinhof Blues," A violência é tão fascinante E nossas vidas são tão normais E você passa de noite e sempre vê Apartamentos acesos Tudo parece ser tão real Mas você viu esse filme também Andando nas ruas Pensei que podia ouvir Alguém me chamando Dizendo meu nome Já estou cheio de me sentir vazio Meu corpo é quente e estou sentindo frio Todo mundo sabe e ninguém quer mais saber Afinal, amar o próximo é tão démodé E essa justiça Desafinada É tão humana E tão errada Nós assistimos televisão também Qual é a diferença? Não estatize meus sentimentos Pra seu governo, o meu estado É independente Oh oh oh Já estou cheio de me sentir vazio Meu corpo é quente e estou sentindo frio Todo mundo sabe e ninguém quer mais saber Afinal, amar o próximo é tão démodé"
24,Boomerang Blues, Tudo o que você faz Um dia volta pra você Tudo o que você faz Um dia volta pra você E se você fizer o mal Com o mal mais tarde você vai ter de viver Não me entregue o seu ódio Sua crise existencial Preliminares não me atingem O que interessa é o final E não me venha com problemas Sinta sozinho o seu mal Por que tentar? Tentei demais? E você só me usou Eu tentava ajudar E você só me queimou Mas é errando que se aprende Minha boa vontade se esgotou Os aborígenes na Austrália Com o boomerang vão caçar O boomerang vai e volta E só fica quando consegue acertar E eu sou como um boomerang Quando eu acerto é pra matar Como um boomerang tudo vai voltar E a ferida que você me fez é em você que vai sangrar Eu tenho cicatrizes Mas eu não me importo não Melhor do que a sua ferida aberta E o sangue ruim do seu coração Eu só não entendo como fui cair Dentro da sua teia e não tentei fugir Me sinto mal lembrando o que aconteceu Você tentou roubar Mas o boomerang agora é meu
25,Central do Brasil, [Instrumental]
26,Cherish," So tired of broken hearts, of losing at this game Before I start this dance I take a chance in telling you I want more than just romance You are my destiny, I can't let go baby Can't you see Cupid please take your aim at me Cherish the thought Of always having you here by my side Cherish the joy You keep bringing it into my life Cherish your strength You got the to power to make me feel good Perish the thought Of ever leaving I never would I was never satisfied with casual encounters I can't hide the need for two hearts that bleed with burning love That's the way it's got to be Romeo and Juliet, they never felt this way I bet So don't underestimate my point of view Cherish the thought Of always having you here by my side Cherish the joy You keep bringing it into my life Cherish your strength You got the to power to make me feel good Perish the thought Of ever leaving I never would Who? You! Can't get away, I won't let you Who? You! I could never forget to Cherish is the word I use to remind me of your love Romeo and Juliet never felt this way I bet So don't underestimate my point of view Give me strenght Give me joy my boy I will always Cherish you"
27,Clarisse," Estou cansado de ser vilipendiado Incompreendido e descartado Quem diz que me entende nunca quis saber Aquele menino foi internado numa clínica Dizem que por falta de atenção dos amigos, das lembranças Dos sonhos que se configuram tristes e inertes Como uma ampulheta imóvel, não se mexe Não se move, não trabalha E Clarisse está trancada no banheiro E faz marcas no seu corpo com seu pequeno canivete Deitada num canto, seus tornozelos sangram E a dor é menor do que parece Quando ela se corta ela se esquece Que é impossível ter da vida calma e força Viver em dor, o que ninguém entende Tentar ser forte a todo e cada amanhecer Uma de suas amigas já se foi Quando mais uma ocorrência policial Ninguém me entende, não me olhe assim Com este semblante de bom samaritano Cumprindo o seu dever como se eu fosse doente Como se toda essa dor fosse diferente ou inexistente Nada existe pra mim, não tente Você não sabe e não entende E quando os antidepressivos E os calmantes não fazem mais efeito Clarisse sabe que a loucura está presente E sente a essência estranha do que é a morte Mas esse vazio ela conhece muito bem De quando em quando é um novo tratamento Mas o mundo continua sempre o mesmo O medo de voltar pra casa à noite Os homens que se esfregam nojentos No caminho de ida e volta da escola A falta de esperança e o tormento De saber que nada é justo e pouco é certo E que estamos destruindo o futuro E que a maldade anda sempre aqui por perto A violência e a injustiça que existe Contra todas as meninas e mulheres Um mundo onde a verdade é o avesso E a alegria já não tem mais endereço Clarisse está trancada no seu quarto Com seus discos e seus livros, seu cansaço Eu sou um pássaro Me trancam na gaiola E esperam que eu cante como antes Eu sou um pássaro Me trancam na gaiola Mas um dia eu consigo existir E vou voar pelo caminho mais bonito Clarisse só tem 14 anos"
28,Close The Door Lightly When You Go," Turn around, don't whisper out my name For like a breeze, it'd stir a dying flame I'll miss someone, if it eases you to know So close the door lightly when you go Who was the one that stole my mind? Who was the one that robbed my time? Who was the one who made me feel unkind ? So fare thee well, sweet love of mine Take your tears to someone else's eyes They're made of glass And are cut like wounded lies Memories are drifting like the snow But close the door lightly when you go Don't look back to where you once hade been Look straight ahead When you're walking through the rain And find a light If the path gets dark and cold But close the door lightly when you go But close the door lightly when you go"
29,Clothes Of Sand," Who has dressed you in strange clothes of sand? Who has taken you, far from my land? Who has said that my sayings were wrong? And who will say that I stayed much too long? Clothes of sand have covered your face Given you meaning, taken my place So make your way on, down to the sea Something has taken you, so far from me. Does it now seem worth all the colour of skies? To see the earth, through painted eyes? To look through panes of shaded glass? See the stains of winter's grass. Can you now return to from where you came? Try to burn, your changing name? Or with silver spoons and coloured light Will you worship moons, in winter's night. Clothes of sand have covered your face Given you meaning taken my place So make your way on, down to the sea Something has taken you, so far from me."
30,Come Share My Life, [Instrumental]
31,Comédia Romântica," Acho que só agora eu começo a perceber Tudo o que você me disse Pelo menos o que lembro que aprendi com você Está realmente certo. Bem mais certo do que eu queria acreditar Você gosta mesmo de mim Se arriscando a me perder assim Ao me explicar o que eu não quero ouvir. Ainda não estou pronto pra saber a verdade Ou não estava até uma estação atrás. Acho que só agora eu começo a ver Que tudo que você me disse É o que você gostaria que tivessem dito pra você Se o tempo pudesse voltar dessa vez. Sou eu mesmo e serei eu mesmo então E não há nada de errado comigo, não Não, não, não Não preciso de modelos, Não preciso de heróis Eu tenho meus amigos, E quando a vida dói Eu tento me concentrar, N'um caminho fácil Sou eu mesmo e serei eu mesmo então E eu queria que o tempo Pudesse voltar dessa vez"
